setting,model,benchmark,condition,is_core,qwen_dedup_on,min__n,min__n_flip,min__ok,min__stage1_repair_coef,min__stage1_repair_p,min__stage1_repair_neg_sig,min__stage2a_repair_coef,min__stage2a_repair_p,min__stage2b_repair_coef,min__stage2b_repair_p,min__stage2b_kl_coef,min__stage2b_kl_p,min__prop_mediated,mean__prop_mediated,mean__stage1_repair_coef,mean__stage1_repair_neg_sig,min__reason
Llama-3.2-1B-Instruct_arc_importance,Llama-3.2-1B-Instruct,arc,importance,True,False,615,216,True,-0.23101326961497476,1.1123216774431119e-08,True,-0.05523104507759843,0.5386140484782908,0.03849841637656069,0.682709359470943,0.39377934945109544,6.946159476317878e-05,1.6970430547253132,0.944393439038862,-0.29924387118598633,True,
Llama-3.2-1B-Instruct_arc_random,Llama-3.2-1B-Instruct,arc,random,True,False,613,110,True,-0.14530632180168507,0.0006567786439788064,True,-0.0824952883123547,0.4807369942311728,-0.03821391841747,0.7494077939721451,0.2590709406236284,0.006751657700336859,0.5367745334402693,0.5148087663079437,-0.2639742313364177,True,
Llama-3.2-1B-Instruct_commonsense_qa_importance,Llama-3.2-1B-Instruct,commonsense_qa,importance,True,False,717,257,True,-0.279444646516045,4.557255329307373e-14,True,-0.10383353222060207,0.22663846820773836,-0.009363980579975338,0.9175152894562468,0.3363249559129068,0.0001678833924528511,0.909817374217022,1.5899556178410879,-0.4042838732559834,True,
Llama-3.2-1B-Instruct_commonsense_qa_random,Llama-3.2-1B-Instruct,commonsense_qa,random,True,False,711,214,True,-0.1937116711283062,6.181555782784183e-07,True,-0.05959179150930571,0.4914115777367133,0.01681120799646676,0.850757771007125,0.3830934991025403,4.293988382228897e-06,1.282106101707675,0.8675629684338342,-0.26117487540823303,True,
Llama-3.2-1B-Instruct_gsm8k_importance,Llama-3.2-1B-Instruct,gsm8k,importance,True,False,453,132,True,-0.07729459631319945,0.09950803886905525,False,-0.25106337025783204,0.04151905663004274,-0.2371795726456439,0.05609007793991687,0.22279502692988903,0.06609837284518782,0.0552999730622991,0.6581477801768256,-0.1089814044108549,True,
Llama-3.2-1B-Instruct_gsm8k_random,Llama-3.2-1B-Instruct,gsm8k,random,True,False,457,129,True,-0.03827322004041415,0.43215055943635966,False,0.2002491614302391,0.07098279085492497,0.23206575917818437,0.042440879657797886,0.4950358829566009,7.540952580652076e-06,-0.15888504860994998,-0.7554439285199972,-0.1562014533353158,True,
Llama-3.2-1B-Instruct_math_importance,Llama-3.2-1B-Instruct,math,importance,True,False,99,55,True,0.020678594448268785,0.8318604655329025,False,-0.06711985799534202,0.7482629064311456,-0.24766376836993412,0.3250517656238471,2.6560277945387987,0.00028774746862921647,-2.689873247156177,-2.09080505372548,0.01797918926102303,False,
Llama-3.2-1B-Instruct_math_random,Llama-3.2-1B-Instruct,math,random,True,False,105,47,True,0.12791469573487604,0.13274173416125054,False,-0.15460922000323757,0.4604060330000156,-0.29638497634317224,0.18658185867954336,0.9278304238238173,0.008118910989422131,-0.916994189201432,1.973271480263724,0.1763612301033044,False,
Llama-3.2-1B-Instruct_mmlu_importance,Llama-3.2-1B-Instruct,mmlu,importance,True,False,1190,435,True,-0.24569437874019848,1.4699315573068252e-17,True,-0.16333685149164928,0.012128176361265165,-0.10263291883033665,0.12773475785126637,0.24693131838237786,0.0001550531025607183,0.3716487253607687,0.40612265363913835,-0.3244080725265087,True,
Llama-3.2-1B-Instruct_mmlu_random,Llama-3.2-1B-Instruct,mmlu,random,True,False,1207,282,True,-0.04641695419873726,0.13373454595691772,False,-0.029540297757550803,0.6994129846469073,-0.012987362645634831,0.8669971966846206,0.3642172569453936,4.798454883895889e-08,0.5603509906288902,0.6614245467555494,-0.14910579263480672,True,
Llama-3.2-3B-Instruct_arc_importance,Llama-3.2-3B-Instruct,arc,importance,True,False,888,170,True,-0.29176758809100894,2.4191723865784458e-17,True,-0.22323947264938523,0.016002506234149106,-0.03287374500055011,0.7446888411595494,0.5695035077185777,1.0112528362020718e-11,0.8527422385906598,0.5299575021621074,-0.3448824914293634,True,
Llama-3.2-3B-Instruct_arc_random,Llama-3.2-3B-Instruct,arc,random,True,False,894,105,True,-0.14743142288466216,1.848380940425725e-05,True,-0.2505634186929979,0.030681650643861812,-0.17756793839088883,0.13280699426465842,0.4349990031524679,6.16427927758271e-07,0.2913253685748381,0.5002668780870315,-0.26675458583526684,True,
Llama-3.2-3B-Instruct_commonsense_qa_importance,Llama-3.2-3B-Instruct,commonsense_qa,importance,True,False,867,232,True,-0.30490645397101923,2.6430596846719605e-19,True,-0.17576509724613293,0.0459986285211344,0.05040552945632529,0.60057367182899,0.6762272190024762,6.205009586802667e-14,1.2867778088259458,1.0573457716874877,-0.40425830166728666,True,
Llama-3.2-3B-Instruct_commonsense_qa_random,Llama-3.2-3B-Instruct,commonsense_qa,random,True,False,879,166,True,-0.16308359171514475,3.665526129488679e-06,True,-0.23462684036738682,0.01377293819367301,-0.11164944147825849,0.2614058552217926,0.6963215696463175,3.585213968668368e-15,0.5241403698595014,0.5815550079776879,-0.2662988077308644,True,
Llama-3.2-3B-Instruct_gsm8k_importance,Llama-3.2-3B-Instruct,gsm8k,importance,True,False,887,160,True,-0.17105775734367093,2.2425399316135442e-07,True,-0.31357299629656793,0.0012023391923628778,-0.22026645290860788,0.027210729633496637,0.5173665866140298,5.655009259809788e-09,0.2975592429512442,0.22723947913881604,-0.2091363528635518,True,
Llama-3.2-3B-Instruct_gsm8k_random,Llama-3.2-3B-Instruct,gsm8k,random,True,False,894,142,True,-0.052797176492652156,0.1286784636501498,False,-0.1636629668020033,0.09783965217741633,-0.1417062044093526,0.17081325379352463,0.5148487298926114,2.1817759590842727e-09,0.13415840383251518,0.14804231835314063,-0.13353855297485737,True,
Llama-3.2-3B-Instruct_math_importance,Llama-3.2-3B-Instruct,math,importance,True,False,43,17,True,-0.24626625088334841,0.12056092048616188,False,0.10683305448172732,0.7559858285248549,0.3231559592374708,0.4022601499890188,0.8064674483201613,0.09078676399121217,-2.024868668271048,0.6380808910846746,-0.24665646176230935,False,
Llama-3.2-3B-Instruct_math_random,Llama-3.2-3B-Instruct,math,random,True,False,50,23,True,0.2364385212024943,0.0511032923110287,False,-0.24772666476193092,0.4492294497056266,-0.46476935826528754,0.2039915648508126,0.9890920809504292,0.08652088658303797,-0.8761377936926489,-5.473610104953865,0.2559020099536115,False,
Llama-3.2-3B-Instruct_mmlu_importance,Llama-3.2-3B-Instruct,mmlu,importance,True,False,1683,383,True,-0.2740097051160305,9.134875201153026e-29,True,-0.20632556073783767,0.0012924230574090619,-0.06011280852724062,0.3766565940132548,0.49455898305295554,2.2515047422733355e-16,0.708650695957049,0.8115804118409465,-0.3108871539453477,True,
Llama-3.2-3B-Instruct_mmlu_random,Llama-3.2-3B-Instruct,mmlu,random,True,False,1705,271,True,-0.06553330161263708,0.012132990403712716,True,-0.2195362903423675,0.0035830536729433687,-0.18929602723791558,0.01528539993748467,0.516704941740717,2.4845848631093706e-16,0.13774607859726576,0.3471287289417772,-0.15780377061041334,True,
Mistral-7B-Instruct-v0.3_arc_importance,Mistral-7B-Instruct-v0.3,arc,importance,True,False,904,127,True,-0.3329709334985129,5.764508196661549e-23,True,-0.31291179024115745,0.002527942391700212,0.005631901141026439,0.9610392198621505,0.733561985333929,1.0869477233778634e-13,1.0179983666856594,1.0560028732566624,-0.45436468684124187,True,
Mistral-7B-Instruct-v0.3_arc_random,Mistral-7B-Instruct-v0.3,arc,random,True,False,906,74,True,-0.21789911241235926,8.215389028634543e-11,True,-0.1344270122196762,0.31025817279451073,0.01776384815198362,0.8978419884559761,0.4725144039368345,3.516400550920845e-07,1.1321449302388311,1.2470442678492395,-0.3184260546068716,True,
Mistral-7B-Instruct-v0.3_commonsense_qa_importance,Mistral-7B-Instruct-v0.3,commonsense_qa,importance,True,False,885,172,True,-0.3079756821978161,1.4267549641011713e-21,True,-0.46889186592015064,2.3542678438577013e-06,-0.22466313857007542,0.03418595697115604,0.677700100393884,4.1645272904430994e-13,0.5208636470389654,0.5141075327186294,-0.39470954688655985,True,
Mistral-7B-Instruct-v0.3_commonsense_qa_random,Mistral-7B-Instruct-v0.3,commonsense_qa,random,True,False,897,152,True,-0.21689276993635845,3.9744032442777314e-11,True,-0.08511941340829186,0.35907055571238145,0.0734326351450246,0.45598868950908433,0.6459801472751556,2.8891702451060906e-12,1.8627013768620635,1.0779318887640008,-0.276953758065489,True,
Mistral-7B-Instruct-v0.3_gsm8k_importance,Mistral-7B-Instruct-v0.3,gsm8k,importance,True,False,545,126,True,-0.20621216218665384,1.0134244906627313e-06,True,-0.40049970066580226,0.0004413427409557401,-0.30823046378088903,0.008760520750780109,0.4345352837399324,3.231435274757094e-05,0.23038528301400024,0.5308333047313726,-0.3061196745770393,True,
Mistral-7B-Instruct-v0.3_gsm8k_random,Mistral-7B-Instruct-v0.3,gsm8k,random,True,False,548,103,True,-0.12098078553430891,0.004597953198181395,True,-0.2823105632176587,0.013969305741751885,-0.20583072177824974,0.09344671268953844,0.8304329750668568,6.304253393598048e-10,0.2709067651161311,0.3377304179526831,-0.13812359063578128,True,
Mistral-7B-Instruct-v0.3_math_importance,Mistral-7B-Instruct-v0.3,math,importance,True,False,58,36,True,0.005051468946463505,0.9650412026630462,False,0.2600098738455737,0.3802112561643769,0.30903754522910865,0.3231203152441652,0.8697508293726923,0.10199420087663003,-0.1885608060125196,-0.16458855644201795,-0.00847672136414474,False,
Mistral-7B-Instruct-v0.3_math_random,Mistral-7B-Instruct-v0.3,math,random,True,False,58,23,True,-0.12898637316494188,0.3241260089464586,False,-0.6662052548928865,0.06507503680900074,-0.6045608320603616,0.11775185329091975,0.9823107288465482,0.01859589197781119,0.0925306763640527,0.28155523988564607,-0.07742938826010216,False,
Mistral-7B-Instruct-v0.3_mmlu_importance,Mistral-7B-Instruct-v0.3,mmlu,importance,True,False,1738,329,True,-0.2723409295704268,7.832681139581798e-30,True,-0.10339632497194806,0.107862304032599,0.09807659511720998,0.1615553401131452,0.6415438829573751,1.550738446275899e-24,1.948550107016073,1.494678228447978,-0.34172878217372565,True,
Mistral-7B-Instruct-v0.3_mmlu_random,Mistral-7B-Instruct-v0.3,mmlu,random,True,False,1752,213,True,-0.12624819014436184,3.141265072384231e-07,True,-0.12606653574286703,0.11290041734183412,-0.03128767481012761,0.706564121603109,0.5862336843533147,1.07909717607733e-17,0.7518161768643832,0.7485334279530763,-0.21200042845868583,True,
Qwen2.5-7B-Instruct_arc_importance,Qwen2.5-7B-Instruct,arc,importance,False,True,4,0,False,,,,,,,,,,,,,,insufficient
Qwen2.5-7B-Instruct_arc_random,Qwen2.5-7B-Instruct,arc,random,False,True,2,0,False,,,,,,,,,,,,,,insufficient
Qwen2.5-7B-Instruct_commonsense_qa_importance,Qwen2.5-7B-Instruct,commonsense_qa,importance,False,True,5,1,False,,,,,,,,,,,,,,insufficient
Qwen2.5-7B-Instruct_commonsense_qa_random,Qwen2.5-7B-Instruct,commonsense_qa,random,False,True,5,0,False,,,,,,,,,,,,,,insufficient
Qwen2.5-7B-Instruct_gsm8k_importance,Qwen2.5-7B-Instruct,gsm8k,importance,False,True,215,6,True,-0.21386976641789532,0.0007759943366561211,True,-0.276923905615805,0.5101839871774558,0.2627792277794322,0.608290760957628,1.1308584822959793,0.003788483126170307,1.948922149552532,2.2227469853157418,-0.2708446218595442,True,
Qwen2.5-7B-Instruct_gsm8k_random,Qwen2.5-7B-Instruct,gsm8k,random,False,True,248,7,True,-0.0731766906989082,0.269316719217305,False,-0.19581549255860878,0.6159820423515623,-0.09211830373682783,0.8204739181156511,0.42932495604231186,0.08777477193478311,0.5295658043540337,0.35017012945262055,-0.18814653726797276,True,
Qwen2.5-7B-Instruct_math_importance,Qwen2.5-7B-Instruct,math,importance,False,True,43,7,True,0.042906167083088545,0.8178816175424367,False,0.22254786383573325,0.6745809298386659,0.3401612596252684,0.663840593765546,2.536240193577192,0.05835156161375909,-0.5284858446286763,-3.4046009692404215,-0.08824291511453605,False,
Qwen2.5-7B-Instruct_math_random,Qwen2.5-7B-Instruct,math,random,False,True,45,1,False,,,,,,,,,,,,,,insufficient
Qwen2.5-7B-Instruct_mmlu_importance,Qwen2.5-7B-Instruct,mmlu,importance,False,True,4,0,False,,,,,,,,,,,,,,insufficient
Qwen2.5-7B-Instruct_mmlu_random,Qwen2.5-7B-Instruct,mmlu,random,False,True,6,0,False,,,,,,,,,,,,,,insufficient
gemma-3-1b-it_arc_importance,gemma-3-1b-it,arc,importance,True,False,386,114,True,-0.34645149074017456,1.1617238405757534e-12,True,0.02969134471576143,0.7943118007388666,0.07539625539101574,0.5381407178299391,0.12771008864236383,0.28447175460810936,-1.539334479889427,8.410035132626474,-0.397063418148501,True,
gemma-3-1b-it_arc_random,gemma-3-1b-it,arc,random,True,False,381,93,True,-0.20361768593507287,3.277800607098771e-05,True,-0.23784281984003194,0.04358706415419343,-0.2068859738706174,0.08718239494131155,0.14189480988652595,0.2368958474784022,0.13015673960742416,0.07069657456871545,-0.24428007200239724,True,
gemma-3-1b-it_commonsense_qa_importance,gemma-3-1b-it,commonsense_qa,importance,True,False,461,196,True,-0.1477919584287431,0.0008660357800376393,True,-0.12343983792034595,0.19657401524934148,-0.07498370110660936,0.4455949527333618,0.33956124672982657,0.0012073212410513904,0.39254861015780557,0.4033322978444715,-0.26433007841941547,True,
gemma-3-1b-it_commonsense_qa_random,gemma-3-1b-it,commonsense_qa,random,True,False,457,141,True,-0.04875063074089201,0.30449780655227926,False,-0.06653344622036893,0.5133315226313444,-0.049032677989172824,0.6360767329752701,0.3511174699447435,0.0005644692732424452,0.26303715237041664,0.23872243282233963,-0.10501794804408651,True,
gemma-3-1b-it_gsm8k_importance,gemma-3-1b-it,gsm8k,importance,True,False,249,91,True,-0.18475443225106064,0.002443275330301213,True,-0.15517108165130597,0.24513394241030073,-0.04107298295830597,0.7710679105532965,0.6408244308264703,0.00028564607931499833,0.73530517077529,1.413660081738193,-0.20934076503279705,True,
gemma-3-1b-it_gsm8k_random,gemma-3-1b-it,gsm8k,random,True,False,264,82,True,-0.17155283960372938,0.004816154269972554,True,-0.22653198861875773,0.09150991167842898,-0.07378346361349311,0.6250800865036608,1.1563988002234817,7.157368532565887e-08,0.6742911936482971,0.4985603502216555,-0.1252750297616699,True,
gemma-3-1b-it_math_importance,gemma-3-1b-it,math,importance,True,False,97,42,True,-0.043292103533282354,0.6593307150869029,False,-0.2862467433931646,0.20101758225745936,-0.4905609487483046,0.0797875757667786,1.837218470254447,0.0001248918630680335,-0.7137695364956907,-0.26089657893648704,-0.15622797558837181,False,
gemma-3-1b-it_math_random,gemma-3-1b-it,math,random,True,False,99,39,True,0.08426296419936123,0.3422910149070127,False,0.1254834385912298,0.6481684713197939,0.05276187740233243,0.8544435869056741,1.1569295022564876,0.0027291465047583796,0.5795311477380886,1.5576812755673175,0.1863355541550215,False,
gemma-3-1b-it_mmlu_importance,gemma-3-1b-it,mmlu,importance,True,False,757,266,True,-0.21661372775213203,8.761984828905155e-11,True,-0.048796182456006164,0.5248200171937716,0.012862804414263147,0.8718435280948014,0.2838773379816684,0.0009349517844076061,1.2636026788747263,0.5955175888006707,-0.2801311509089864,True,
gemma-3-1b-it_mmlu_random,gemma-3-1b-it,mmlu,random,True,False,748,197,True,-0.08573322182573985,0.011313532805071719,True,-0.09830859443644575,0.23734212867649795,-0.07342335276960701,0.3833576837177095,0.27103228948642794,0.0016984084832287242,0.25313393818204244,0.25918992101320404,-0.11643147529078433,True,
gemma-3-4b-it_arc_importance,gemma-3-4b-it,arc,importance,True,False,948,106,True,-0.22991108616557865,3.0022976542842084e-12,True,-0.35357723770240457,0.0017506864722995385,-0.1573812220776726,0.19310791189153298,0.6468246868023957,8.174557914124192e-13,0.5548887052222075,0.8366877054057028,-0.3483597509680028,True,
gemma-3-4b-it_arc_random,gemma-3-4b-it,arc,random,True,False,949,62,True,-0.08877012910371611,0.009647999194840384,True,-0.11156595405852278,0.43844377112985333,-0.0705165464025254,0.6328702729717582,0.3589523181950813,8.241600496463586e-05,0.3679384808959245,0.5383796595381755,-0.1739094270601652,True,
gemma-3-4b-it_commonsense_qa_importance,gemma-3-4b-it,commonsense_qa,importance,True,False,858,165,True,-0.2208674799503175,1.2352583979723404e-11,True,-0.263746822478216,0.004659840187586479,-0.06784836153871944,0.5149880303825365,0.91256958582519,1.2650965850527647e-20,0.7427519281513872,1.4171255225872348,-0.33132640406183095,True,
gemma-3-4b-it_commonsense_qa_random,gemma-3-4b-it,commonsense_qa,random,True,False,874,126,True,-0.15202760261494844,1.0145441766934982e-05,True,-0.14495508770188897,0.15274014341441014,0.015660560771956315,0.8874495805124738,0.8292531239528591,4.0434163300202974e-18,1.1080373308742597,1.0494072785989095,-0.21867765136247214,True,
gemma-3-4b-it_gsm8k_importance,gemma-3-4b-it,gsm8k,importance,True,False,1041,101,True,-0.11510575134188646,7.308570063757391e-05,True,-0.44206074929360173,0.00012161734168953781,-0.35204289296849967,0.003270200478136707,0.6738285104808089,3.477952796136261e-11,0.20363232082682658,0.2525190094626162,-0.14911490057459517,True,
